Job_id,Job title,Job posting date,Job posting url,Job location,Pay rate,Vendor company name,Job type,Work from availability,Work type(remote/on-site),Modified Date,Current date time,Job Title
4b65fd2e2aa75bbfde534dc48811fc36,Data Analyst,2024-01-31T14:01:35Z,https://www.dice.com/job-detail/aa89fe7c-80dd-4dab-8bdd-617268bdeb6a,"Des Plaines, IL, USA",$25 - $35,Mindlance,Contract,FALSE,Hybrid/Onsite,2024-01-31T14:01:35Z,2024-01-31T23:58:35Z,Data Analyst
0354b73731c5d639f2c0137edd883043,Data analyst,2024-01-31T14:10:25Z,https://www.dice.com/job-detail/78d49408-5bb9-4083-84e9-78cbe82f2877,"Dallas, TX, USA",Depends on Experience,Raas Infotek LLC,Contract,FALSE,Remote,2024-01-31T14:10:25Z,2024-01-31T23:58:35Z,Data Analyst
ed2be378f278ee30ced18fbcd9f13d57,Technical Data Analyst,2024-01-31T14:05:16Z,https://www.dice.com/job-detail/eedd69bd-288b-416b-a3b1-72f7a585b852,"McLean, VA, USA",$60 - $70,Tekfortune Inc.,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-31T14:05:16Z,2024-01-31T23:58:35Z,Data Analyst
3069d1672aa5e8a57cc1b7b61993bd48,Data Engineer / Data Analyst,2024-01-31T15:15:57Z,https://www.dice.com/job-detail/b692c02e-f117-404f-b40c-d2fb5d71124e,"Irving, TX, USA",$DOE,Techgene Solutions LLC,"Full-time, Contract",FALSE,Hybrid/Onsite,2024-01-31T17:45:55Z,2024-01-31T23:58:35Z,Data Analyst
71de162ffefe704793d53c812d2cc24e,ETL Data Analyst,2024-01-31T14:14:26Z,https://www.dice.com/job-detail/7936b3e9-19f0-48f2-baa1-25f9b981c800,"Philadelphia, PA, USA",$50 - $60,Inabia Software & Consulting Inc.,Contract,FALSE,Hybrid/Onsite,2024-01-31T14:14:26Z,2024-01-31T23:58:35Z,Data Analyst
addea19d1d7f9c833f67b2bbeac2551f,Michael Page- Data Analyst/Finance Applications Support,2024-01-31T00:11:10Z,https://www.dice.com/job-detail/1ee4af8c-f38b-443f-a219-faea60b9ccd7,"New York, NY, USA",$35 - $50 per hour,Michael Page International,Contract,FALSE,Hybrid/Onsite,2024-01-31T16:11:39Z,2024-01-31T23:58:35Z,Data Analyst
902a1ffdf27956b481f508641a2193be,Data Analyst,2024-01-31T18:01:08Z,https://www.dice.com/job-detail/5b63ed47-a010-4523-afcd-f47c5823ba38,"McLean, VA, USA",,Palnar,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-31T18:01:08Z,2024-01-31T23:58:35Z,Data Analyst
8b4876ab778c9036c96c6b8533d34a78,Senior Data Analyst,2024-01-30T22:33:26Z,https://www.dice.com/job-detail/b7da8cee-1f3a-42ca-84c1-7d579c2b4f02,"Owings Mills, MD, USA",$60 - $70,Tek Inspirations LLC,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-30T22:33:26Z,2024-01-31T23:58:35Z,Data Analyst
f7996c06972b3a12139f511ab9466231,"Data Analyst- Boston, MA(day 1 onsite)",2024-01-31T17:46:06Z,https://www.dice.com/job-detail/b0684cd2-7db3-4f5a-a89f-04c5e9f766fe,"Boston, MA, USA",,Amtex System Inc.,Contract,FALSE,Hybrid/Onsite,2024-01-31T17:46:06Z,2024-01-31T23:58:35Z,Data Analyst
b8dedf2b22dcc3a7094b9b3b5b822949,Production Support Data Analyst,2024-01-31T13:43:51Z,https://www.dice.com/job-detail/7b12249d-50c2-4e68-9afb-c3aa252e6e8d,"Boston, MA, USA",$45 - $55,NR Consulting LLC,Contract,FALSE,Hybrid/Onsite,2024-01-31T13:43:51Z,2024-01-31T23:58:35Z,Data Analyst
